Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction,Degrees
Hondarribia,14,07h,5,9,"0,7",13,13,SSO (194.43404539904904°),O (278°),OFF-SHORE
Hondarribia,14,09h,6,15,"0,7",13,14,SSO (194.76826240421215°),O (278°),OFF-SHORE
Hondarribia,14,11h,5,11,"0,7",13,15,SSO (205.89823936621434°),O (277°),OFF-SHORE
Hondarribia,14,13h,6,10,"0,7",13,17,SSO (192.0776446209373°),O (277°),OFF-SHORE
Hondarribia,14,15h,6,10,"0,8",13,18,S (176.36927576705716°),O (278°),OFF-SHORE
Hondarribia,14,17h,5,12,"1,0",13,16,SSE (164.96930288913865°),O (278°),OFF-SHORE
Hondarribia,14,19h,7,13,"1,0",13,16,S (178.4439635916949°),O (279°),OFF-SHORE
Hondarribia,14,21h,6,13,"1,0",13,16,S (173.157815358713°),O (279°),OFF-SHORE
Hondarribia,15,03h,5,11,"1,0",15,14,SSE (163.6764597958628°),ONO (283°),OFF-SHORE
Hondarribia,15,05h,5,8,"1,1",15,14,SE (141.9811469731633°),ONO (283°),OFF-SHORE
Hondarribia,15,07h,5,8,"1,2",14,14,S (179.77922243700752°),ONO (282°),OFF-SHORE
Hondarribia,15,09h,7,12,"1,2",14,14,SSO (205.8466332380321°),O (281°),OFF-SHORE
Hondarribia,15,11h,5,11,"1,1",14,14,SSO (196.19361483072865°),O (281°),OFF-SHORE
Hondarribia,15,13h,5,11,"1,0",13,15,OSO (243.22695669192814°),O (281°),SIDE-SHORE
Hondarribia,15,15h,7,14,"0,9",13,15,OSO (249.4320005334398°),O (280°),SIDE-SHORE
Hondarribia,15,17h,9,17,"0,9",13,13,OSO (243.05367862927443°),O (280°),SIDE-SHORE
Hondarribia,15,19h,10,18,"0,8",12,13,SO (235.19303416378997°),O (280°),OFF-SHORE
Hondarribia,15,21h,6,11,"0,8",12,12,O (277.69145142053253°),O (279°),SIDE-SHORE
Hondarribia,16,03h,3,6,"0,8",11,11,N (357.5985965937683°),O (278°),ON-SHORE
Hondarribia,16,05h,5,8,"1,0",7,10,NNE (15.064332588236661°),NNO (338°),ON-SHORE
Hondarribia,16,07h,6,8,"1,1",7,10,NNE (25.565074380626477°),NNO (348°),ON-SHORE
Hondarribia,16,09h,5,8,"1,2",7,9,NE (44.12606183856807°),N (350°),ON-SHORE
Hondarribia,16,11h,5,7,"1,2",7,8,NE (35.152863251436656°),N (351°),ON-SHORE
Hondarribia,16,13h,4,6,"1,2",7,9,N (356.2793332908409°),N (353°),ON-SHORE
