Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction
Spain - Sant Martí,13,10h,3,5,1,6,8,OSO (237.04492424672986°),E (91°)
Spain - Sant Martí,13,12h,2,3,1,6,11,SO (223.38885223027688°),E (85°)
Spain - Sant Martí,13,14h,2,3,1,6,12,SSO (201.24718092599988°),E (87°)
Spain - Sant Martí,13,16h,2,4,1,6,13,SE (138.90794130313967°),E (84°)
Spain - Sant Martí,13,18h,3,6,1,6,12,S (183.0283562536786°),E (83°)
Spain - Sant Martí,13,20h,3,4,0.9,6,11,SSO (213.5286426106651°),E (84°)
Spain - Sant Martí,13,22h,3,6,0.9,6,11,O (260.18794823043186°),E (86°)
Spain - Sant Martí,14,03h,5,8,1,6,11,NO (306.015348217741°),ENE (76°)
Spain - Sant Martí,14,05h,5,8,1.1,6,11,ONO (297.01095858414647°),ENE (75°)
Spain - Sant Martí,14,07h,4,10,1.2,6,11,NO (318.09810654475154°),ENE (75°)
Spain - Sant Martí,14,09h,7,9,1.4,6,12,NNO (334.38419137061965°),ENE (77°)
Spain - Sant Martí,14,11h,4,8,1.5,6,13,N (356.30351461131505°),E (80°)
Spain - Sant Martí,14,13h,6,9,1.4,6,13,N (8.486520453440491°),E (81°)
Spain - Sant Martí,14,15h,4,6,1.3,6,14,ESE (101.88643568300655°),E (82°)
Spain - Sant Martí,14,17h,4,5,1.2,6,14,SE (129.13400040632254°),E (84°)
Spain - Sant Martí,14,19h,4,7,1.1,6,13,SSE (162.7672560765665°),E (83°)
Spain - Sant Martí,14,21h,6,8,1,6,12,SSO (202.80172855874721°),E (83°)
Spain - Sant Martí,15,03h,3,4,0.7,6,11,OSO (256.15307206707547°),E (86°)
Spain - Sant Martí,15,05h,3,3,0.7,6,10,O (265.31469459773274°),E (86°)
Spain - Sant Martí,15,07h,4,5,0.6,6,10,NO (306.09898882033906°),E (87°)
Spain - Sant Martí,15,09h,3,5,0.6,6,11,ONO (287.02817661276526°),E (86°)
Spain - Sant Martí,15,11h,3,6,0.6,6,12,O (273.0830534683047°),E (84°)
Spain - Sant Martí,15,13h,4,7,0.6,6,15,SSO (199.31899206013546°),E (87°)
Spain - Sant Martí,15,15h,8,11,0.7,6,15,S (190.96639466990604°),E (97°)
Spain - Sant Martí,15,17h,8,12,0.9,6,14,SO (220.77995806664833°),ESE (111°)
Spain - Sant Martí,15,19h,5,7,1,6,13,NO (311.7467327259874°),ESE (108°)
Spain - Sant Martí,15,21h,3,5,0.9,6,12,ONO (288.95641094672584°),E (98°)
Spain - Sant Martí,16,03h,4,5,0.9,6,10,NNO (330.5149142820434°),E (87°)
Spain - Sant Martí,16,05h,3,4,0.8,6,10,NNO (330.25127927411154°),E (85°)
Spain - Sant Martí,16,07h,4,4,0.7,6,10,ONO (295.8602233639657°),E (85°)
Spain - Sant Martí,16,09h,3,3,0.7,6,10,NNO (342.8022624945648°),E (92°)
Spain - Sant Martí,16,11h,3,3,0.7,6,13,ONO (301.5423714092619°),E (96°)
Spain - Sant Martí,16,13h,3,4,0.6,6,14,NE (45.14057058049378°),E (88°)
Spain - Sant Martí,16,15h,5,5,0.6,6,14,ESE (105.1993067567134°),ENE (76°)
Spain - Sant Martí,16,17h,4,5,0.6,6,13,NNE (13.841936121124265°),ENE (66.33333333333333°)
Spain - Sant Martí,16,19h,4,5,0.6,6,12,ESE (104.57088233664112°),ENE (59°)
Spain - Sant Martí,16,22h,4,5,0.6,6,11,NNO (338.7694096777476°),NE (52°)
Spain - Sant Martí,17,04h,4,5,0.6,6,10,N (354.69317887641813°),NE (41°)
Spain - Sant Martí,17,06h,4,5,0.6,6,10,NNO (335.019449189191°),NE (37.666666666666664°)
Spain - Sant Martí,17,08h,4,5,0.6,6,9,NO (317.63166131873584°),NE (35.33333333333333°)
Spain - Sant Martí,17,10h,4,5,0.5,6,9,ONO (302.5562035021776°),NE (34°)
Spain - Sant Martí,17,12h,5,6,0.4,6,11,SSO (208.8630395770329°),NE (37.33333333333333°)
Spain - Sant Martí,17,14h,6,6,0.4,6,12,SSE (165.43552672830978°),NE (41.33333333333333°)
Spain - Sant Martí,17,16h,6,7,0.4,6,13,ESE (122.04389626038294°),NE (46°)
Spain - Sant Martí,17,18h,5,6,0.4,6,12,E (80.45858686552012°),NE (48°)
Spain - Sant Martí,17,20h,5,5,0.4,6,11,E (86.78770907771685°),NE (50°)
Spain - Sant Martí,17,22h,4,4,0.3,6,11,NNE (20.889001692416375°),NE (52°)
Spain - Sant Martí,18,04h,3,3,0.2,6,10,NNE (17.05704044125884°),ENE (68°)
Spain - Sant Martí,18,06h,3,3,0.2,6,9,NNO (329.3162230565673°),ENE (75.33333333333333°)
Spain - Sant Martí,18,08h,4,4,0.2,6,8,ONO (299.7767108585484°),E (83.66666666666666°)
Spain - Sant Martí,18,10h,3,4,0.2,6,10,NNO (326.2655869327323°),E (93°)
Spain - Sant Martí,18,12h,5,9,0.2,6,13,SE (134.72573841177717°),E (91°)
Spain - Sant Martí,18,14h,6,9,0.3,6,14,S (187.6006554203031°),ESE (108.66666666666666°)
Spain - Sant Martí,18,16h,10,12,0.4,6,14,S (172.3511125786759°),SE (146°)
Spain - Sant Martí,18,18h,8,15,0.4,6,12,S (182.64639677866526°),SSE (158.66666666666666°)
Spain - Sant Martí,18,20h,9,18,0.4,6,11,SSO (192.650676187333°),SSE (167.66666666666666°)
Spain - Sant Martí,18,22h,8,11,0.4,6,11,SSO (203.0831421177906°),S (173°)
Spain - Sant Martí,19,04h,9,12,0.6,6,11,SSO (205.79739535601226°),S (171°)
Spain - Sant Martí,19,07h,9,13,0.6,6,10,SSO (207.9354343387171°),S (172°)
Spain - Sant Martí,19,10h,9,12,0.6,6,12,SSO (205.213424804436°),S (173°)
Spain - Sant Martí,19,13h,7,13,0.7,6,16,SSO (200.30052400786545°),S (175°)
Spain - Sant Martí,19,16h,7,13,0.8,6,16,S (181.9049186895455°),S (176°)
Spain - Sant Martí,19,19h,5,8,0.8,6,13,SSO (201.93695058186447°),S (173°)
Spain - Sant Martí,19,22h,6,7,0.8,6,11,SO (220.49249968602157°),S (175°)
Spain - Sant Martí,20,04h,6,7,0.6,6,10,SO (235.0943209952439°),SSE (165°)
Spain - Sant Martí,20,07h,7,8,0.6,6,10,OSO (244.27818626924355°),SSE (162°)
Spain - Sant Martí,20,10h,6,7,0.5,6,10,SO (231.55231232242488°),SSE (159°)
Spain - Sant Martí,20,13h,4,6,0.5,6,14,S (172.71558453774594°),SSE (155°)
Spain - Sant Martí,20,16h,9,9,0.5,6,14,SE (126.57899276563701°),SSE (152°)
Spain - Sant Martí,20,19h,6,8,0.5,6,13,SSO (195.07870387017377°),SSE (150°)
Spain - Sant Martí,20,22h,7,6,0.5,6,11,SO (234.62516334561332°),SSE (148°)
Spain - Sant Martí,21,04h,7,7,0.4,6,11,SO (227.54403461621186°),SE (144°)
Spain - Sant Martí,21,07h,6,6,0.4,6,11,SO (225.26523144070816°),SE (140°)
Spain - Sant Martí,21,10h,6,6,0.3,6,11,SO (219.31342263765632°),SE (138°)
Spain - Sant Martí,21,13h,7,8,0.3,6,14,S (183.12827479827354°),SE (136°)
Spain - Sant Martí,21,16h,9,9,0.3,6,15,SSE (163.98413490011006°),SE (134°)
Spain - Sant Martí,21,19h,4,3,0.3,6,12,SSO (212.93728046135382°),SE (132°)
