Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction
Spain - Nemina,13,10h,11,20,3.3,13,15,SSO (191.27876540121613°),OSO (256°)
Spain - Nemina,13,12h,10,19,3.2,13,15,SSO (198.91947770135215°),OSO (258°)
Spain - Nemina,13,14h,11,20,3.1,13,16,SSO (205.91082628920628°),O (259°)
Spain - Nemina,13,16h,12,21,3.1,13,15,SO (219.59085527547072°),O (260°)
Spain - Nemina,13,18h,11,21,3.1,13,15,SO (220.7084781740699°),O (261°)
Spain - Nemina,13,20h,12,21,3.1,13,15,SO (217.35333509253985°),O (262°)
Spain - Nemina,13,22h,14,24,3.1,13,15,SO (220.5764817182584°),OSO (258°)
Spain - Nemina,14,03h,16,26,3.3,13,15,SSO (207.7207193340661°),O (260°)
Spain - Nemina,14,05h,16,28,3.4,13,14,SSO (200.01822722322052°),O (262°)
Spain - Nemina,14,07h,17,29,3.5,13,14,SSO (195.80967211383125°),O (263°)
Spain - Nemina,14,09h,18,30,3.8,13,14,S (190.90125122089853°),O (264°)
Spain - Nemina,14,11h,18,32,4.1,13,14,S (189.0734502886015°),O (269°)
Spain - Nemina,14,13h,18,31,4.3,13,15,S (190.2093212357054°),O (272°)
Spain - Nemina,14,15h,17,29,4.5,13,15,S (188.25326503117265°),O (272°)
Spain - Nemina,14,17h,20,31,4.5,13,14,SSO (200.66960596624565°),O (272°)
Spain - Nemina,14,19h,16,24,4.4,13,13,SSO (209.735143989766°),O (272°)
Spain - Nemina,14,21h,13,23,4.2,13,13,SSO (195.07168789847088°),O (269°)
Spain - Nemina,15,03h,9,17,3.5,13,13,SO (215.79294700483516°),O (265°)
Spain - Nemina,15,05h,10,16,3.5,13,13,SSO (213.40761613117206°),O (262°)
Spain - Nemina,15,07h,10,17,3.5,13,13,SSO (204.43940702060206°),O (259°)
Spain - Nemina,15,09h,9,16,3.5,13,12,S (187.123696684932°),OSO (257°)
Spain - Nemina,15,11h,9,16,3.5,13,13,S (173.5521485607671°),OSO (257°)
Spain - Nemina,15,13h,9,16,3.5,13,13,S (169.31764504921225°),OSO (258°)
Spain - Nemina,15,15h,7,12,3.5,13,13,SSE (158.4850699697886°),O (260°)
Spain - Nemina,15,17h,5,10,3.4,13,13,SE (139.41150073039307°),O (263°)
Spain - Nemina,15,19h,6,9,3.3,13,12,ESE (107.14229275710639°),O (268°)
Spain - Nemina,15,21h,5,8,3.3,13,12,E (90.51952072767051°),O (276°)
Spain - Nemina,16,03h,7,10,3.1,13,11,NE (52.53642047773287°),ONO (302°)
Spain - Nemina,16,05h,9,15,3.1,13,11,NE (47.089635597362054°),NO (319°)
Spain - Nemina,16,07h,11,20,3,13,10,NE (46.32309549855476°),NO (325°)
Spain - Nemina,16,09h,13,24,2.9,13,11,NE (45.745289895430496°),NO (326°)
Spain - Nemina,16,11h,14,24,2.8,13,12,NE (52.692438822051116°),NO (322°)
Spain - Nemina,16,13h,13,21,2.5,13,13,NE (47.06711551490881°),NNO (346°)
Spain - Nemina,16,15h,10,14,2.3,13,13,NE (50.261193339816664°),NNO (336°)
Spain - Nemina,16,17h,8,14,2.2,13,12,NE (36.63818166369825°),NO (320.3333333333333°)
