Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction
Spain - Cabopino,13,10h,19,33,1.5,5,18,SO (232.2829037549672°),OSO (238°)
Spain - Cabopino,13,12h,20,36,1.8,5,18,SO (234.8661559267261°),OSO (237°)
Spain - Cabopino,13,14h,23,38,2.1,5,18,OSO (237.7917392353488°),OSO (239°)
Spain - Cabopino,13,16h,23,38,2.2,5,18,OSO (237.02053024643988°),OSO (239°)
Spain - Cabopino,13,18h,21,36,2,5,19,OSO (238.33596414423545°),OSO (238°)
Spain - Cabopino,13,20h,22,38,1.9,5,19,OSO (242.18132860771402°),OSO (239°)
Spain - Cabopino,13,22h,17,31,1.9,5,18,OSO (240.68548283829068°),OSO (240°)
Spain - Cabopino,14,03h,13,19,1.4,5,18,OSO (238.4499628994243°),OSO (241°)
Spain - Cabopino,14,05h,10,16,1.4,5,17,SO (234.82158853262854°),OSO (241°)
Spain - Cabopino,14,07h,9,14,1.2,5,17,OSO (242.67719709727095°),OSO (247°)
Spain - Cabopino,14,09h,11,17,1.1,5,17,SO (228.4718655731033°),O (259°)
Spain - Cabopino,14,11h,15,22,1.1,5,17,SO (233.76023483669545°),O (259°)
Spain - Cabopino,14,13h,15,20,1.1,5,17,SO (227.2280367987941°),O (259°)
Spain - Cabopino,14,15h,12,17,1,5,17,OSO (240.84019277947965°),O (259°)
Spain - Cabopino,14,17h,11,16,0.9,5,17,SO (234.70015466545755°),O (259°)
Spain - Cabopino,14,19h,11,17,1,5,17,OSO (238.00510355021083°),O (259°)
Spain - Cabopino,14,21h,14,24,1.1,5,17,OSO (236.36983212407375°),OSO (248°)
Spain - Cabopino,15,03h,12,20,1.5,5,16,OSO (247.1142876176599°),OSO (245°)
Spain - Cabopino,15,05h,14,23,1.6,5,16,OSO (253.0073520638424°),OSO (245°)
Spain - Cabopino,15,07h,13,18,1.3,5,15,OSO (246.47729274739717°),OSO (242°)
Spain - Cabopino,15,09h,14,21,1.1,5,15,OSO (242.75083566818762°),OSO (245°)
Spain - Cabopino,15,11h,12,17,0.9,5,15,OSO (242.99806017122603°),OSO (256°)
Spain - Cabopino,15,13h,14,19,0.9,5,15,OSO (242.94867050480093°),O (259°)
Spain - Cabopino,15,15h,12,19,1,5,15,OSO (239.67768213739654°),OSO (257°)
Spain - Cabopino,15,17h,12,18,1.5,5,15,OSO (247.81493303928755°),OSO (248°)
Spain - Cabopino,15,19h,12,17,1.3,5,15,OSO (248.72481817529106°),OSO (250°)
Spain - Cabopino,15,21h,11,17,1.4,5,14,OSO (250.86667978977266°),OSO (245°)
Spain - Cabopino,16,03h,6,9,1,5,14,OSO (258.3339042427692°),OSO (257°)
Spain - Cabopino,16,05h,5,8,0.9,5,13,OSO (250.3396846423802°),O (259°)
Spain - Cabopino,16,07h,7,10,1,5,14,OSO (258.15337600374744°),OSO (258°)
Spain - Cabopino,16,09h,11,18,1,5,14,OSO (243.24400447557042°),O (259°)
Spain - Cabopino,16,11h,14,22,1,5,15,SO (233.1883356215401°),OSO (258°)
Spain - Cabopino,16,13h,16,24,1.1,5,16,SO (231.06297821179186°),O (259°)
Spain - Cabopino,16,15h,18,25,1.2,5,16,SO (232.99793423568804°),OSO (241.66666666666663°)
Spain - Cabopino,16,17h,15,21,1.2,5,16,SO (225.48808811400863°),OSO (240.99999999999997°)
Spain - Cabopino,16,19h,13,18,1,5,16,OSO (246.99677532180402°),OSO (257°)
