Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction
Spain - Punta del Moral,13,10h,23,37,2.6,7,19,SO (218.58548555558397°),SO (224°)
Spain - Punta del Moral,13,12h,24,39,2.7,7,19,SO (224.08168474712312°),SO (228°)
Spain - Punta del Moral,13,14h,23,36,2.9,7,19,SO (230.46329614323955°),SO (231°)
Spain - Punta del Moral,13,16h,21,36,3,7,19,SO (234.19461931595066°),SO (234°)
Spain - Punta del Moral,13,18h,22,36,3,7,19,OSO (238.46104358653812°),SO (233°)
Spain - Punta del Moral,13,20h,18,29,2.9,7,19,OSO (242.56831927943767°),SO (233°)
Spain - Punta del Moral,13,22h,12,19,2.7,7,18,OSO (244.31630677556117°),SO (236°)
Spain - Punta del Moral,14,03h,9,16,2.3,7,18,SO (228.84520878651045°),OSO (248°)
Spain - Punta del Moral,14,05h,10,17,2.2,7,18,SO (234.95255499782505°),OSO (251°)
Spain - Punta del Moral,14,07h,10,18,2.2,7,17,OSO (239.81686144023723°),OSO (251°)
Spain - Punta del Moral,14,09h,9,15,2.1,7,17,OSO (244.00203742905197°),OSO (251°)
Spain - Punta del Moral,14,11h,9,14,1.9,7,18,SO (232.52350490026282°),OSO (253°)
Spain - Punta del Moral,14,13h,11,17,1.9,7,18,SO (225.919770313975°),OSO (253°)
Spain - Punta del Moral,14,15h,13,19,1.8,7,18,SO (229.58256671081548°),OSO (253°)
Spain - Punta del Moral,14,17h,15,22,1.8,7,18,SO (235.90732534216394°),OSO (253°)
Spain - Punta del Moral,14,19h,16,24,1.9,7,17,OSO (244.68411591719064°),OSO (253°)
Spain - Punta del Moral,14,21h,16,24,2.1,7,16,OSO (250.34898550618124°),SO (233°)
Spain - Punta del Moral,15,03h,15,21,2.3,7,15,O (260.1455666872827°),SO (236°)
Spain - Punta del Moral,15,05h,13,20,2.2,7,15,O (262.9428237505351°),OSO (239°)
Spain - Punta del Moral,15,07h,11,15,2.3,7,14,O (262.640483051491°),OSO (239°)
Spain - Punta del Moral,15,09h,9,12,2.2,7,14,O (261.1840583936963°),OSO (250°)
Spain - Punta del Moral,15,11h,8,12,2.1,7,15,OSO (252.18625180390416°),OSO (252°)
Spain - Punta del Moral,15,13h,9,14,2,7,15,OSO (243.22187503306344°),OSO (252°)
Spain - Punta del Moral,15,15h,13,17,1.9,7,16,OSO (252.938798202088°),OSO (253°)
Spain - Punta del Moral,15,17h,12,16,1.9,7,16,OSO (255.50387586159502°),OSO (253°)
Spain - Punta del Moral,15,19h,11,16,1.9,7,14,OSO (255.39557393956366°),OSO (253°)
Spain - Punta del Moral,15,21h,7,11,1.9,7,14,OSO (254.76189555250937°),OSO (253°)
Spain - Punta del Moral,16,03h,9,15,1.9,7,15,OSO (253.36124235583657°),OSO (252°)
Spain - Punta del Moral,16,05h,9,14,2,7,14,O (260.74178244224504°),OSO (252°)
Spain - Punta del Moral,16,07h,9,14,2,7,14,OSO (257.8340230435706°),OSO (252°)
Spain - Punta del Moral,16,09h,9,13,1.9,7,14,OSO (247.8171190118349°),OSO (253°)
Spain - Punta del Moral,16,11h,14,20,1.9,7,16,OSO (251.9002716573034°),OSO (253°)
Spain - Punta del Moral,16,13h,14,19,1.9,7,16,OSO (247.61887922714422°),OSO (254°)
Spain - Punta del Moral,16,15h,14,19,1.9,7,17,O (265.0194748133071°),OSO (251.99999999999997°)
Spain - Punta del Moral,16,17h,13,18,1.8,7,16,O (262.05172724126646°),OSO (251.66666666666663°)
Spain - Punta del Moral,16,19h,10,13,1.7,7,16,O (264.0198960480784°),OSO (253°)
Spain - Punta del Moral,16,22h,7,10,1.5,7,14,NNO (332.84600001867307°),OSO (255°)
Spain - Punta del Moral,17,04h,5,7,1.2,7,13,NNO (348.37394461433087°),OSO (254°)
Spain - Punta del Moral,17,06h,4,6,1.1,7,12,N (349.63676825584974°),OSO (255.33333333333331°)
Spain - Punta del Moral,17,08h,4,5,1,7,12,ONO (294.09181877705174°),OSO (256.66666666666663°)
Spain - Punta del Moral,17,10h,4,5,0.9,7,12,NNE (20.75986900180113°),OSO (258°)
Spain - Punta del Moral,17,12h,4,4,0.9,7,14,ENE (66.69006112170304°),OSO (257.3333333333333°)
Spain - Punta del Moral,17,14h,4,4,0.8,7,15,ESE (104.2344017394148°),OSO (257.3333333333333°)
Spain - Punta del Moral,17,16h,4,4,0.7,7,16,SE (140.29413458264796°),OSO (258°)
Spain - Punta del Moral,17,18h,3,4,0.7,7,15,SE (132.0716079420694°),OSO (258.66666666666663°)
Spain - Punta del Moral,17,20h,3,4,0.6,7,14,SE (125.95074556363876°),OSO (258.66666666666663°)
Spain - Punta del Moral,17,22h,4,5,0.6,7,14,E (92.69798224946416°),OSO (258°)
Spain - Punta del Moral,18,04h,5,7,0.5,7,13,E (82.45808470592252°),O (259°)
Spain - Punta del Moral,18,06h,6,7,0.5,7,13,E (80.709699799953°),OSO (258.3333333333333°)
Spain - Punta del Moral,18,08h,8,10,0.5,7,13,ENE (77.0289117162065°),OSO (258.3333333333333°)
Spain - Punta del Moral,18,10h,10,12,0.5,7,13,E (84.50630356348617°),O (259°)
Spain - Punta del Moral,18,12h,10,12,0.5,7,14,E (100.92592344426897°),OSO (256.3333333333333°)
Spain - Punta del Moral,18,14h,9,11,0.5,7,15,ESE (113.30797776894264°),OSO (254.33333333333331°)
Spain - Punta del Moral,18,16h,7,10,0.5,7,16,SE (125.4069453071169°),OSO (253°)
Spain - Punta del Moral,18,18h,5,6,0.6,7,15,ESE (122.78391023977°),S (183°)
Spain - Punta del Moral,18,20h,6,7,0.7,7,15,SE (125.5128188140414°),SE (146°)
Spain - Punta del Moral,18,22h,11,13,0.8,7,15,SE (139.94029204856776°),SE (142°)
Spain - Punta del Moral,19,04h,12,16,0.9,7,15,SE (144.60727696651165°),OSO (248°)
Spain - Punta del Moral,19,07h,12,17,1,7,15,SE (140.08152162886185°),OSO (251°)
Spain - Punta del Moral,19,10h,13,18,1.2,7,16,SE (134.44193707770944°),OSO (253°)
Spain - Punta del Moral,19,13h,13,17,1.3,7,17,SE (135.27633581855144°),OSO (254°)
Spain - Punta del Moral,19,16h,10,14,1.3,7,17,SE (145.5144515300871°),OSO (254°)
Spain - Punta del Moral,19,19h,9,12,1.2,7,16,SSE (148.53853002396303°),OSO (255°)
Spain - Punta del Moral,19,22h,9,13,1.2,7,16,SSE (149.11125648001132°),OSO (255°)
Spain - Punta del Moral,20,04h,9,14,1.1,7,16,SE (136.36428535449164°),OSO (256°)
Spain - Punta del Moral,20,07h,10,15,1.1,7,15,ESE (123.66336008069085°),OSO (256°)
Spain - Punta del Moral,20,10h,11,16,1.1,7,16,ESE (119.17803394063182°),OSO (258°)
Spain - Punta del Moral,20,13h,11,15,1.2,7,17,SE (128.49806001145535°),OSO (256°)
Spain - Punta del Moral,20,16h,10,14,1.1,7,17,ESE (123.43311012949282°),OSO (256°)
Spain - Punta del Moral,20,19h,8,13,1.1,7,16,SE (137.02433027835573°),OSO (258°)
Spain - Punta del Moral,20,22h,9,14,1.2,7,16,SE (143.38992613027222°),OSO (258°)
Spain - Punta del Moral,21,04h,12,18,1.5,7,17,S (178.46594145318002°),SO (236°)
Spain - Punta del Moral,21,07h,12,21,1.7,7,16,S (181.86666750465292°),OSO (237°)
Spain - Punta del Moral,21,10h,17,24,2.6,7,16,SSO (207.17954592760938°),SO (223°)
